gbd_cause_id_3_ml,gbd_indication_name_3,canonical_model_ta,canonical_model_ta_code,sort_order,observed_rows_total,observed_tas,observed_rows_by_ta
709,Animal contact,Other/Unclassified,UNCLASSIFIED,355,4,UNCLASSIFIED,"{""UNCLASSIFIED"": 4}"
712,Foreign body,Other/Unclassified,UNCLASSIFIED,358,0,,{}
940,Electrocution,Other/Unclassified,UNCLASSIFIED,362,0,,{}
842,Environmental heat and cold exposure,Other/Unclassified,UNCLASSIFIED,363,2,UNCLASSIFIED,"{""UNCLASSIFIED"": 2}"
729,Exposure to forces of nature,Other/Unclassified,UNCLASSIFIED,364,1,MUSCULOSKELETAL,"{""MUSCULOSKELETAL"": 1}"
716,Other unintentional injuries,Other/Unclassified,UNCLASSIFIED,365,32,CARDIOVASCULAR|DERMATOLOGY|MUSCULOSKELETAL|NEUROLOGY|UNCLASSIFIED,"{""CARDIOVASCULAR"": 1, ""DERMATOLOGY"": 3, ""MUSCULOSKELETAL"": 4, ""NEUROLOGY"": 10, ""UNCLASSIFIED"": 14}"
718,Self-harm,Other/Unclassified,UNCLASSIFIED,367,0,,{}
724,Interpersonal violence,Other/Unclassified,UNCLASSIFIED,370,0,,{}
945,Conflict and terrorism,Other/Unclassified,UNCLASSIFIED,375,0,,{}
854,Police conflict and executions,Other/Unclassified,UNCLASSIFIED,376,0,,{}
0,Other / Unclassified,Other/Unclassified,UNCLASSIFIED,999999,0,UNCLASSIFIED,"{""UNCLASSIFIED"": 0}"
